42057	42057
23258	23258
23258	27276
27276	23258
27276	27276
6354	6354
55869	55869
9342	9342
9342	71089
71089	9342
71089	71089
4645	4645
4645	85536
85536	4645
85536	85536
13081	13081
32505	32505
49671	49671
63557	63557
63557	80121
80121	63557
80121	80121
2554	2554
58164	58164
95417	95417
48810	48810
34809	34809
2371	2371
59879	59879
17677	17677
17677	19927
17677	40414
19927	17677
19927	19927
19927	40414
40414	17677
40414	19927
40414	40414
28719	28719
26154	26154
26154	61454
61454	26154
61454	61454
8755	8755
8755	33150
8755	51797
33150	8755
33150	33150
33150	51797
51797	8755
51797	33150
51797	51797
2093	2093
2093	4776
2093	6783
2093	29898
2093	32167
2093	32194
2093	58395
2093	61202
2093	76647
4776	2093
4776	4776
4776	6783
4776	29898
4776	32167
4776	32194
4776	58395
4776	61202
4776	76647
6783	2093
6783	4776
6783	6783
6783	29898
6783	32167
6783	32194
6783	58395
6783	61202
6783	76647
29898	2093
29898	4776
29898	6783
29898	29898
29898	32167
29898	32194
29898	58395
29898	61202
29898	76647
32167	2093
32167	4776
32167	6783
32167	29898
32167	32167
32167	32194
32167	58395
32167	61202
32167	76647
32194	2093
32194	4776
32194	6783
32194	29898
32194	32167
32194	32194
32194	58395
32194	61202
32194	76647
58395	2093
58395	4776
58395	6783
58395	29898
58395	32167
58395	32194
58395	58395
58395	61202
58395	76647
61202	2093
61202	4776
61202	6783
61202	29898
61202	32167
61202	32194
61202	58395
61202	61202
61202	76647
76647	2093
76647	4776
76647	6783
76647	29898
76647	32167
76647	32194
76647	58395
76647	61202
76647	76647
88828	88828
60274	60274
89293	89293
9376	9376
5610	5610
5610	63897
63897	5610
63897	63897
16638	16638
16638	63048
63048	16638
63048	63048
30673	30673
53578	53578
53578	75907
75907	53578
75907	75907
71874	71874
96799	96799
42509	42509
51004	51004
50310	50310
41741	41741
59545	59545
59545	79701
79701	59545
79701	79701
21071	21071
21071	61739
61739	21071
61739	61739
34540	34540
72308	72308
84367	84367
84367	97634
97634	84367
97634	97634
53479	53479
66437	66437
59730	59730
59730	61547
61547	59730
61547	61547
36685	36685
36685	66967
66967	36685
66967	66967
13848	13848
13848	67609
13848	77671
67609	13848
67609	67609
67609	77671
77671	13848
77671	67609
77671	77671
44382	44382
44382	64539
64539	44382
64539	64539
36937	36937
74445	74445
36831	36831
63216	63216
468	468
468	67112
67112	468
67112	67112
49129	49129
79351	79351
6445	6445
18823	18823
80910	80910
99671	99671
5737	5737
5737	11606
5737	96980
11606	5737
11606	11606
11606	96980
96980	5737
96980	11606
96980	96980
50712	50712
95459	95459
699	699
699	54603
699	76805
54603	699
54603	54603
54603	76805
76805	699
76805	54603
76805	76805
96398	96398
44034	44034
33559	33559
33559	52732
52732	33559
52732	52732
2061	2061
827	827
21474	21474
55748	55748
5103	5103
75486	75486
42009	42009
89383	89383
33295	33295
63754	63754
13785	13785
97030	97030
53804	53804
53804	54950
54950	53804
54950	54950
6169	6169
6169	12482
6169	21452
12482	6169
12482	12482
12482	21452
21452	6169
21452	12482
21452	21452
39500	39500
60035	60035
63796	63796
11290	11290
11290	78520
78520	11290
78520	78520
12901	12901
19505	19505
41712	41712
41712	74481
74481	41712
74481	74481
4928	4928
51320	51320
51320	95599
95599	51320
95599	95599
19638	19638
19827	19827
45795	45795
45795	56233
56233	45795
56233	56233
326	326
326	94830
94830	326
94830	94830
57095	57095
67904	67904
92251	92251
22129	22129
5132	5132
61111	61111
99903	99903
99616	99616
63454	63454
63454	73760
63454	83965
73760	63454
73760	73760
73760	83965
83965	63454
83965	73760
83965	83965
71230	71230
22534	22534
89974	89974
98571	98571
34355	34355
56993	56993
68645	68645
23088	23088
23088	54544
54544	23088
54544	54544
13399	13399
40808	40808
51871	51871
15729	15729
15729	17103
17103	15729
17103	17103
30275	30275
30275	67340
67340	30275
67340	67340
12219	12219
32963	32963
32963	43535
32963	51489
43535	32963
43535	43535
43535	51489
51489	32963
51489	43535
51489	51489
63174	63174
3971	3971
90182	90182
25137	25137
25307	25307
25307	32287
25307	65192
25307	87622
32287	25307
32287	32287
32287	65192
32287	87622
65192	25307
65192	32287
65192	65192
65192	87622
87622	25307
87622	32287
87622	65192
87622	87622
55071	55071
55071	85349
85349	55071
85349	85349
97174	97174
13	13
48895	48895
12985	12985
12985	63166
63166	12985
63166	63166
88058	88058
90129	90129
40180	40180
44436	44436
45395	45395
67118	67118
31850	31850
68797	68797
24967	24967
55395	55395
26916	26916
43796	43796
43796	71029
71029	43796
71029	71029
73221	73221
73221	82274
82274	73221
82274	82274
72743	72743
953	953
16120	16120
16120	59336
16120	64457
59336	16120
59336	59336
59336	64457
64457	16120
64457	59336
64457	64457
96782	96782
74449	74449
6512	6512
6512	23517
6512	65048
23517	6512
