57937	57937
31283	31283
32488	32488
81339	81339
86330	86330
16392	16392
34627	34627
89798	89798
43097	43097
19723	19723
10903	10903
57519	57519
90400	90400
72901	72901
3361	3361
18820	18820
41266	41266
14330	14330
94383	94383
30256	30256
7956	7956
63405	63405
97788	97788
70075	70075
49455	49455
8532	8532
97546	97546
51458	51458
49979	49979
53199	53199
8300	8300
94254	94254
23188	23188
87462	87462
90687	90687
87608	87608
86074	86074
46760	46760
53198	53198
65626	65626
67868	67868
14357	14357
56785	56785
10018	10018
8301	8301
81430	81430
76711	76711
13305	13305
47406	47406
43349	43349
33918	33918
82727	82727
90803	90803
86331	86331
45747	45747
7144	7144
56714	56714
8769	8769
6814	6814
75170	75170
1476	1476
79748	79748
68668	68668
94600	94600
41147	41147
8206	8206
88620	88620
76174	76174
29157	29157
73343	73343
74554	74554
82099	82099
86075	86075
7642	7642
75171	75171
77887	77887
12159	12159
2970	2970
84315	84315
99585	99585
11038	11038
53797	53797
66323	66323
82100	82100
41495	41495
43867	43867
51459	51459
4814	4814
63921	63921
86127	86127
80717	80717
30563	30563
42855	42855
38764	38764
11611	11611
31896	31896
75757	75757
78370	78370
53526	53526
26584	26584
66378	66378
75272	75272
63543	63543
6930	6930
50989	50989
60481	60481
74444	74444
15492	15492
58594	58594
30332	30332
44195	44195
55840	55840
31836	31836
56442	56442
25502	25502
94215	94215
52735	52735
16542	16542
87537	87537
45562	45562
68388	68388
26527	26527
28285	28285
52982	52982
58386	58386
1165	1165
12238	12238
23880	23880
37334	37334
89055	89055
19578	19578
41804	41804
87206	87206
30448	30448
17344	17344
54576	54576
17050	17050
71474	71474
6989	6989
3446	3446
80528	80528
8351	8351
37725	37725
77576	77576
5826	5826
31545	31545
9618	9618
66032	66032
70466	70466
26419	26419
80896	80896
99975	99975
13467	13467
80547	80547
73198	73198
55384	55384
71976	71976
24222	24222
3549	3549
51052	51052
24892	24892
88102	88102
22593	22593
27088	27088
8485	8485
62508	62508
36486	36486
34917	34917
60038	60038
96695	96695
87538	87538
56536	56536
29075	29075
48372	48372
52637	52637
54839	54839
19886	19886
62466	62466
79196	79196
58135	58135
30177	30177
3360	3360
50330	50330
76687	76687
9619	9619
72449	72449
26420	26420
95409	95409
91084	91084
87553	87553
92431	92431
12713	12713
40747	40747
80384	80384
63857	63857
10316	10316
90330	90330
83931	83931
31705	31705
32737	32737
36530	36530
13892	13892
29558	29558
95359	95359
86305	86305
7145	7145
42987	42987
86949	86949
50471	50471
56411	56411
3548	3548
60204	60204
4810	4810
10762	10762
82650	82650
40185	40185
61495	61495
62509	62509
54706	54706
7744	7744
529	529
1124	1124
77993	77993
5906	5906
25151	25151
50532	50532
91465	91465
30401	30401
64699	64699
82899	82899
90535	90535
12350	12350
49715	49715
37407	37407
22641	22641
61038	61038
93057	93057
27737	27737
91872	91872
256	256
98367	98367
57925	57925
25649	25649
79494	79494
83913	83913
77987	77987
98700	98700
84488	84488
93414	93414
79867	79867
41803	41803
95993	95993
7160	7160
58871	58871
18812	18812
8378	8378
67776	67776
99532	99532
12793	12793
37342	37342
64577	64577
74675	74675
74665	74665
31911	31911
56412	56412
87957	87957
20477	20477
49590	49590
23363	23363
42940	42940
2325	2325
91559	91559
2969	2969
91541	91541
5011	5011
37117	37117
74676	74676
20651	20651
58515	58515
93476	93476
29966	29966
2141	2141
4972	4972
98718	98718
9244	9244
97089	97089
81451	81451
71027	71027
19967	19967
77690	77690
96275	96275
68704	68704
99620	99620
83142	83142
96329	96329
79228	79228
48649	48649
57975	57975
27455	27455
